Version,ReleaseIndex,ReleaseData,File,Class,Signature,LOC,NumStatements,NumParams,NumLocalVars,Cyclomatic,CognitiveComplexity,NestingDepth,ReturnTypeComplexity,CodeSmells,NR,NAuth,LOC_Added,MAX_LOC_Added,AVG_LOC_Added,LOC_Deleted,MAX_LOC_Deleted,AVG_LOC_Deleted,Churn,MAX_Churn,AVG_Churn,Global_NR,Global_NAuth,Global_LOC_Added,Global_MAX_LOC_Added,Global_AVG_LOC_Added,Global_LOC_Deleted,Global_MAX_LOC_Deleted,Global_AVG_LOC_Deleted,Global_Churn,Global_MAX_Churn,Global_AVG_Churn,isBuggy
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.setEntryData(byte[]),3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.getDuration(),3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.getRandomLedger(),3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.getThroughput(),3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,"org.apache.bookkeeper.benchmark.BenchThroughputLatency.reportResults(BenchThroughputLatency, String, String, String)",21.0,8.0,4.0,6.0,4.0,4.0,2.0,1.0,3.0,1,1,21.0,21.0,21.0,0,0,0,21.0,21.0,21.0,1,1,21.0,21.0,21.0,0,0,0,21.0,21.0,21.0,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,"org.apache.bookkeeper.benchmark.BenchThroughputLatency.addComplete(int, LedgerHandle, long, Object)",11.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1,5.0,2.0,1.25,3.0,1.0,1.0,8.0,2.0,2.0,28.0,3,72.0,14.0,2.5714285714285716,26.0,3.0,0.9629629629629629,98.0,16.0,3.5,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,"org.apache.bookkeeper.benchmark.BenchThroughputLatency.waitForCoordination(String, String)",23.0,9.0,2.0,3.0,6.0,6.0,2.0,1.0,1.0,1,1,23.0,23.0,23.0,0,0,0,23.0,23.0,23.0,1,1,23.0,23.0,23.0,0,0,0,23.0,23.0,23.0,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,"org.apache.bookkeeper.benchmark.BenchThroughputLatency.percentile(long[], int)",11.0,6.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.main(String[]),39.0,25.0,1.0,13.0,3.0,2.0,1.0,1.0,3.0,4.0,1,108.0,105.0,27.0,3.0,1.0,1.0,111.0,105.0,27.75,28.0,3,175.0,105.0,6.25,26.0,3.0,0.9629629629629629,201.0,105.0,7.178571428571429,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.setupTimeout(CommandLine),12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1,1,12.0,12.0,12.0,0,0,0,12.0,12.0,12.0,1,1,12.0,12.0,12.0,0,0,0,12.0,12.0,12.0,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,"org.apache.bookkeeper.benchmark.BenchThroughputLatency.warmUp(byte[], int, int, int, byte[], ClientConfiguration)",34.0,12.0,6.0,7.0,4.0,4.0,2.0,1.0,3.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.process(WatchedEvent),5.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.buildOptions(),20.0,18.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,20.0,20.0,20.0,0,0,0,20.0,20.0,20.0,1,1,20.0,20.0,20.0,0,0,0,20.0,20.0,20.0,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.close(),6.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
4.2.1,5,2013-03-27,BenchThroughputLatency.java,BenchThroughputLatency,org.apache.bookkeeper.benchmark.BenchThroughputLatency.run(),4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1,3.0,1.0,0.75,3.0,1.0,1.0,6.0,2.0,1.5,28.0,3,70.0,14.0,2.5,26.0,3.0,0.9629629629629629,96.0,16.0,3.4285714285714284,?
